a52dec 0.7.4-9
aalib 1.4rc5-12
accounts-qml-module 0.7-1
accountsservice 0.6.43-1
acl 2.2.52-3
acpid 2.0.28-1
adwaita-icon-theme 3.22.0-1
akonadi 16.12.0-1
akonadi-calendar 16.12.0-1
akonadi-contacts 16.12.0-1
akonadi-import-wizard 16.12.0-1
akonadi-mime 16.12.0-1
akonadi-notes 16.12.0-1
akonadi-search 16.12.0-1
alsa-lib 1.1.3-1
alsa-plugins 1.1.1-1
alsa-utils 1.1.3-1
antergos-keyring 20150806-1
antergos-mirrorlist 20161107-2
antergos-repo-priority 1.0.4-2
antergos-wallpapers 0.7-1
antergos-welcome 0.0.2-2
archlinux-keyring 20161201-1
ark 16.12.0-1
aspell 0.60.6.1-5
aspell-en 2016.06.26-1
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
atkmm 2.24.2+1+gf30b47f-1
attica-qt4 0.4.2-3
attica-qt5 5.29.0-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
b43-fwcutter 019-1
baloo 5.29.0-1
baloo-widgets 16.12.0-1
bash 4.4.005-2
bash-completion 2.4-1
bc 1.06.95-3
bind-tools 9.11.0.P1-2
binutils 2.27-1
bison 3.0.4-2
bluez 5.43-2
bluez-qt 5.29.0-1
boost-libs 1.62.0-4
breeze 5.8.5-1
breeze-gtk 5.8.5-1
breeze-icons 5.29.0-1
breeze-kde4 5.8.5-1
btrfs-progs 4.9-1
bzip2 1.0.6-5
bzr 2.7.0-1
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cairo 1.14.8-1
cairo-dock 3.4.1-2
cairo-dock-plug-ins 3.4.1-6
cairomm 1.12.0-2
calendarsupport 16.12.0-1
cantarell-fonts 1:0.0.25-2
cdparanoia 10.2-5
cdrdao 1.2.3-9
cdrkit 1.1.11-3
celt 0.11.3-2
chmlib 0.40-4
choqok 1.6.0-1
chromaprint 1.4.1-1
cifs-utils 6.5-1
clementine 1.3.1-5
cln 1.3.4-3
clucene 2.3.3.4-9
cmake 3.7.1-1
colord 1.3.4-1
compositeproto 0.4.2-3
conky 1.10.6-1
convertlit 1.8-7
coreutils 8.26-1
cower 16-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
crypto++ 5.6.5-2
cryptsetup 1.7.3-1
curl 7.52.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhclient 4.3.5-1
dhcpcd 6.11.3-1
diffutils 3.5-1
ding-libs 0.6.0-1
djvulibre 3.5.27-3
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
dolphin 16.12.0-1
dolphin-plugins 16.12.0-1
dosfstools 4.0-3
dotconf 1.3-4
downgrade 5.4.0-1
dropbox 16.4.30-1
dvd+rw-tools 7.1-7
e2fsprogs 1.43.3-1
ebook-tools 0.2.2-3
elfutils 0.167-1
enchant 1.6.0-10
eventviews 16.12.0-1
exfat-utils 1.2.5-1
exiv2 0.25-3
expac 8-1
expat 2.2.0-2
extra-cmake-modules 5.29.0-1
f2fs-tools 1.7.0-1
faac 1.28-5
faad2 2.7-4
fakeroot 1.21-2
ffmpeg 1:3.2.2-2
ffmpeg2.8 2.8.9-2
ffmpegthumbnailer 2.1.1-1
ffmpegthumbs 16.12.0-1
fftw 3.3.5-1
file 5.29-1
filesystem 2016.12-2
findutils 4.6.0-2
firefox 50.1.0-1
fixesproto 5.0-3
flac 1.3.1-3
flashplugin 24.0.0.186-1
flex 2.6.1-1
fluidsynth 1.1.6-5
fontconfig 2.12.1-3
fontsproto 2.1.3-1
frameworkintegration 5.29.0-1
freetype2 2.7-2
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gamin 0.1.10-8
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gd 2.2.3-3
gdbm 1.12-2
gdk-pixbuf2 2.36.1+31+gecea71eb6-1
geoclue2 2.4.4-2
geoip 1.6.9-1
geoip-database 20161206-1
gettext 0.19.8.1-2
ghostscript 9.20-4
giblib 1.2.4-6
giflib 5.1.4-1
git 2.11.0-2
gksu 2.0.2-5
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.2-1
glibc 2.24-2
glibmm 2.50.0-1
glu 9.0.0-4
gmp 6.1.1-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-mime-data 2.18.0-7
gnome-python 2.28.1-9
gnome-themes-standard 3.22.2-1
gnome-vfs 2.24.4-10
gnupg 2.1.17-3
gnutls 3.4.17-1
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
google-chrome 55.0.2883.87-1
gpgme 1.7.1-2
gpgmepp 16.08.3-1
gpm 1.20.7-7
grantlee 5.1.0-1
grantleetheme 16.12.0-1
graphene 1.4.0-1
graphite 1:1.3.9-1
grep 2.27-1
groff 1.22.3-7
grub 1:2.02.beta3-4
grub2-theme-antergos 0.1-1
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsm 1.0.14-1
gssproxy 0.5.1-2
gst-libav 1.10.2-1
gst-plugins-bad 1.10.2-2
gst-plugins-base 1.10.2-1
gst-plugins-base-libs 1.10.2-1
gst-plugins-good 1.10.2-1
gst-plugins-ugly 1.10.2-1
gstreamer 1.10.2-1
gstreamer-vaapi 1.10.2-1
gstreamer0.10 0.10.36-4
gstreamer0.10-bad 0.10.23-20
gstreamer0.10-bad-plugins 0.10.23-20
gstreamer0.10-base 0.10.36-3
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good 0.10.31-11
gstreamer0.10-good-plugins 0.10.31-11
gstreamer0.10-python 0.10.22-2
gstreamer0.10-ugly 0.10.19-16
gstreamer0.10-ugly-plugins 0.10.19-16
gtk-engine-murrine 0.98.2-2
gtk-update-icon-cache 3.22.5-1
gtk2 2.24.31-1
gtk3 3.22.5-1
gtkmm3 3.22.0-1
guile 2.0.13-2
gvfs 1.30.3-1
gwenview 16.12.0-1
gzip 1.8-2
harfbuzz 1.3.4-1
harfbuzz-icu 1.3.4-1
haveged 1.9.1-2
hdf5 1.10.0_patch1-1
hdparm 9.50-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
htop 2.0.2-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
iana-etc 20161101-1
icaclient 13.4-1
icu 58.2-1
idnkit 1.0-3
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.7.0-2
imlib2 1.4.9-1
incidenceeditor 16.12.0-1
inetutils 1.9.4-5
iniparser 4.0-2
inputproto 2.3.2-1
intel-ucode 20161104-1
intltool 0.51.0-1
inxi 2.3.5-1
iproute2 4.9.0-1
iptables 1.6.0-1
iputils 20161105.1f2bb12-1
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
iso-codes 3.70-1
iw 4.9-1
jack 0.125.0-3
jansson 2.9-1
jasper 1.900.31-1
jbig2dec 0.13-1
jemalloc 4.4.0-1
jfsutils 1.1.15-4
js17 17.0.0-4
json-c 0.12.1-1
json-glib 1.2.2+4+gd725fb5-1
jsoncpp 1.7.7-1
k3b 1:2.0.3a-7
kaccounts-integration 16.12.0-1
kactivities 5.29.0-1
kactivities-stats 5.29.0-1
kactivitymanagerd 5.8.5-1
kalarmcal 16.12.0-1
karchive 5.29.0-1
kate 16.12.0-1
kauth 5.29.0-1
kbd 2.0.3-1
kbookmarks 5.29.0-1
kbproto 1.0.7-1
kcalc 16.12.0-1
kcalcore 16.12.0-1
kcalutils 16.12.0-1
kcmutils 5.29.0-1
kcodecs 5.29.0-1
kcompletion 5.29.0-1
kconfig 5.29.0-1
kconfigwidgets 5.29.0-1
kcontacts 16.12.0-1
kcoreaddons 5.29.0-1
kcrash 5.29.0-1
kdbusaddons 5.29.0-1
kde-cli-tools 5.8.5-1
kde-gtk-config 5.8.5-1
kde-l10n-en_gb 16.12.0-2
kde-servicemenus-rootactions 2.9-1
kde-syndication 16.12.0-1
kdebase-kdepasswd 16.08.3-1
kdebase-lib 16.08.3-1
kdebase-runtime 16.12.0-1
kdeclarative 5.29.0-1
kdeconnect 1.0.3-1
kdecoration 5.8.5-1
kded 5.29.0-1
kdegraphics-thumbnailers 16.12.0-1
kdelibs 4.14.27-1
kdelibs4support 5.29.0-1
kdenetwork-filesharing 16.12.0-1
kdenetwork-kopete 16.12.0-1
kdepim-addons 16.12.0-1
kdepim-apps-libs 16.12.0-1
kdepim-runtime 16.12.0-1
kdepimlibs4 4.14.10-11
kdeplasma-addons 5.8.5-1
kdesignerplugin 5.29.0-1
kdesu 5.29.0-1
kdesudo 3.4.2.4-1
kdeutils-sweeper 16.12.0-1
kdewebkit 5.29.0-1
kdgantt2 16.08.3-1
kdiagram 2.6.0-1
kdialog 16.12.0-1
kdnssd 5.29.0-1
kdoctools 5.29.0-1
kemoticons 5.29.0-1
keyutils 1.5.9-1
kfaenza-icon-theme 0.8.9-5
kfilemetadata 5.29.0-1
kfind 16.12.0-1
kglobalaccel 5.29.0-1
kguiaddons 5.29.0-1
khelpcenter 16.12.0-1
kholidays 16.12.0-1
khotkeys 5.8.5-1
khtml 5.29.0-1
ki18n 5.29.0-1
kiconthemes 5.29.0-1
kidentitymanagement 16.12.0-1
kidletime 5.29.0-1
kimap 16.12.0-1
kinfocenter 5.8.5-1
kinit 5.29.0-1
kio 5.29.0-1
kio-extras 16.12.0-1
kipi-plugins 5.3.0-6
kitemmodels 5.29.0-1
kitemviews 5.29.0-1
kjobwidgets 5.29.0-1
kjs 5.29.0-1
kjsembed 5.29.0-1
kldap 16.12.0-1
kmail 16.12.0-1
kmail-account-wizard 16.12.0-1
kmailtransport 16.12.0-1
kmbox 16.12.0-1
kmenuedit 5.8.5-1
kmime 16.12.0-1
kmix 16.12.0-1
kmod 23-1
knewstuff 5.29.0-1
knotifications 5.29.0-1
knotifyconfig 5.29.0-1
konsole 16.12.0-1
kontact 16.12.0-1
kontactinterface 16.12.0-1
konversation 1.6.2-1
korganizer 16.12.0-1
kpackage 5.29.1-1
kparts 5.29.0-1
kpeople 5.29.0-1
kpimtextedit 16.12.0-1
kplotting 5.29.0-1
kpty 5.29.0-1
krb5 1.13.7-1
kross 5.29.0-1
krunner 5.29.0-1
kscreen 5.8.5-1
kscreenlocker 5.8.5-1
kservice 5.29.0-1
ksshaskpass 5.8.5-1
ksysguard 5.8.5-1
ktexteditor 5.29.0-1
ktextwidgets 5.29.0-1
kuiserver 5.8.5-1
kunitconversion 5.29.0-1
kwallet 5.29.0-1
kwallet-pam 5.8.5-1
kwalletmanager 16.12.0-1
kwayland 5.29.0-1
kwayland-integration 5.8.5-1
kwidgetsaddons 5.29.0-1
kwin 5.8.5-1
kwindowsystem 5.29.0-1
kwrited 5.8.5-1
kxmlgui 5.29.0-1
ladspa 1.13-6
lame 3.99.5-3
lcms2 2.8-1
ldb 1.1.29-1
ldns 1.6.17-4
less 487-1
lib32-acl 2.2.52-2
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-dbus 1.10.12-1
lib32-expat 2.2.0-1
